beer_id,brew_id,beer,abv,ibu,ounces,style,style2
81,417,Hazed & Infused (2010),0.049,35,12,American Pale Ale (APA),American Pale Ale (APA)
82,544,Haywire Hefeweizen (2010),0.052,18,16,Hefeweizen,NA
83,391,Avalanche Ale,0.054,19,12,American Amber / Red Ale,American Amber / Red Ale
84,424,Rail Yard Ale (2009),0.052,NA,12,American Amber / Red Ale,American Amber / Red Ale
85,510,Cold Smoke Scotch Ale,0.065,11,16,Scotch Ale / Wee Heavy,NA
86,510,Double Haul IPA,0.065,65,16,American IPA,American IPA
87,510,Eddy Out Pale Ale,0.055,50,16,American Pale Ale (APA),American Pale Ale (APA)
88,364,Viennese Lager,0.05,NA,12,Vienna Lager,NA
89,364,Czech Pilsner,0.05,NA,12,Czech Pilsener,NA
90,119,Third Eye Pale Ale,0.065,65,12,American IPA,American IPA
91,119,Steam Engine Lager,0.057,25,12,American Amber / Red Lager,NA
92,119,Colorado KÃ¶lsch,0.049,17,12,KÃ¶lsch,NA
94,262,Resurrection,0.07,NA,12,Dubbel,NA
96,500,Annie's Amber Ale,0.055,NA,12,American Amber / Red Ale,American Amber / Red Ale
97,229,Lazy Daze Lager,0.055,NA,12,American Adjunct Lager,NA
98,555,Pilsner Ukiah,0.055,NA,12,German Pilsener,NA
101,45,Tallgrass IPA,0.063,60,16,American IPA,American IPA
102,45,Buffalo Sweat (2010),0.05,20,16,Milk / Sweet Stout,NA
103,45,Tallgrass Ale,0.044,22,16,American Brown Ale,NA
104,45,Oasis (2010),0.072,93,16,American Double / Imperial IPA,American Double / Imperial IPA
105,45,KÃ¶ld Lager (2010),0.05,16,16,German Pilsener,NA
106,37,Ellieâ€™s Brown Ale,0.055,17,12,American Brown Ale,NA
107,37,Avery India Pale Ale,0.063,69,12,American IPA,American IPA
108,37,White Rascal,0.0559999999999999,10,12,Witbier,NA
109,529,Floppin' Crappie,0.045,NA,12,American Pale Wheat Ale,American Pale Wheat Ale
110,554,BrewFarm Select Golden Lager,0.055,NA,12,American Pale Lager,NA
112,201,Fearless Scottish Ale,0.05,NA,16,Scottish Ale,NA
113,524,Triangle Belgian Golden Ale,0.08,NA,12,Belgian Strong Pale Ale,NA
114,524,Triangle White Ale,0.05,NA,12,Witbier,NA
115,82,Ranger IPA (Current),0.065,70,12,American IPA,American IPA
119,382,Full Nelson Pale Ale (2010),0.059,60,12,American Pale Ale (APA),American Pale Ale (APA)
120,101,Hurricane Amber Ale,0.052,24,12,American Amber / Red Ale,American Amber / Red Ale
121,282,Cornstalker Dark Wheat,,NA,12,American Dark Wheat Ale,NA
122,282,Golden Frau Honey Wheat,0.075,NA,12,Braggot,NA
124,30,Epicenter Amber Ale (2010),0.055,20,12,American Amber / Red Ale,American Amber / Red Ale
125,158,Lumberyard Red Ale,0.0579999999999999,NA,12,American Amber / Red Ale,American Amber / Red Ale
126,234,Harpoon IPA (2010),0.059,42,12,American IPA,American IPA
128,442,O'Fallon Wheach,0.051,7,12,Fruit / Vegetable Beer,NA
129,553,Heiner Brau KÃ¶lsch,0.05,NA,12,KÃ¶lsch,NA
130,135,Morning Wood Wheat (Current),0.059,14,12,American Pale Wheat Ale,American Pale Wheat Ale
131,507,Dry Heat Hefeweizen (2006),0.055,NA,12,Hefeweizen,NA
132,507,Full Moon Belgian White Ale (2007),0.085,NA,12,Witbier,NA
133,299,Saranac Pale Ale (16 oz.),0.055,NA,16,English Pale Ale,NA
138,131,Point Special Lager,0.047,9,12,American Adjunct Lager,NA
139,131,Point Amber Classic,0.047,14,12,American Amber / Red Lager,NA
140,131,Point Cascade Pale Ale,0.054,33,12,American Pale Ale (APA),American Pale Ale (APA)
141,131,Point Nude Beach Summer Wheat (2010),0.05,7,12,American Pale Wheat Ale,American Pale Wheat Ale
142,536,Black Iron India Pale Ale,,NA,12,American IPA,American IPA
143,536,Grand Canyon Sunset Amber Ale,0.054,NA,12,American Amber / Red Ale,American Amber / Red Ale
145,424,Silverback Pale Ale,0.055,40,12,American Pale Ale (APA),American Pale Ale (APA)
146,37,Avery Joeâ€™s Premium American Pilsner,0.047,42,12,German Pilsener,NA
148,327,Daisy Cutter Pale Ale,0.052,NA,16,American Pale Ale (APA),American Pale Ale (APA)
149,327,Gossamer Golden Ale,0.042,NA,16,American Blonde Ale,American Blonde Ale
150,299,Saranac Pale Ale (12 oz.),0.055,NA,12,English Pale Ale,NA
158,229,Cornerstone IPA,0.07,NA,16,American IPA,American IPA
159,336,Scape Goat Pale Ale (2010),0.05,40,12,English Pale Ale,NA
160,551,Ice Pick Ale,0.068,NA,12,American IPA,American IPA
161,551,Red Mountain Ale,0.06,NA,12,American Amber / Red Ale,American Amber / Red Ale
162,361,Paddy Pale Ale,0.0559999999999999,41,12,American Pale Ale (APA),American Pale Ale (APA)
164,543,Black Star Double Hopped Golden Lager (12 oz.),0.045,15,12,American Pale Lager,NA
165,518,White Ale,0.046,NA,12,Witbier,NA
166,371,Oktoberfest Lager,0.0579999999999999,25,12,MÃ¤rzen / Oktoberfest,NA
168,336,Summer Honey,0.047,NA,12,American Blonde Ale,American Blonde Ale
169,182,Horny Toad Cerveza (2013),0.053,25,16,American Blonde Ale,American Blonde Ale
170,182,Native Amber (2013),0.063,35,16,American Amber / Red Ale,American Amber / Red Ale
171,284,Louieâ€™s Demise Immort-Ale (2010),0.051,24,16,American Amber / Red Ale,American Amber / Red Ale
172,284,Flaming Damsel Lager (2010),0.048,18,16,Vienna Lager,NA
173,368,Back in Black,0.068,65,12,American Black Ale,NA
174,552,Mickey Finn's Amber Ale,0.0559999999999999,NA,12,American Amber / Red Ale,American Amber / Red Ale
178,160,Sunbru KÃ¶lsch,0.052,NA,12,KÃ¶lsch,NA
179,160,Kilt Lifter Scottish-Style Ale (2009),0.06,21,12,Scottish Ale,NA
180,192,Island Wheat,0.042,NA,12,American Pale Wheat Ale,American Pale Wheat Ale
181,535,Beltian White,0.048,NA,12,Witbier,NA
182,292,Stowaway IPA,0.069,69,12,American IPA,American IPA
183,292,Pamola Xtra Pale Ale,0.049,28,12,American Pale Ale (APA),American Pale Ale (APA)
184,227,The Public,0.06,NA,12,American Pale Ale (APA),American Pale Ale (APA)
185,227,The Citizen,0.07,NA,12,Belgian Pale Ale,NA
186,227,The Corruption,0.065,80,12,American IPA,American IPA
188,135,Pallavicini Pilsner (2009),0.0579999999999999,21,12,Czech Pilsener,NA
189,365,Roller Dam Red Ale (2010),0.054,30,16,Irish Red Ale,NA
190,365,483 Pale Ale (2010),0.053,48,16,American Pale Ale (APA),American Pale Ale (APA)
192,234,Harpoon Summer Beer (2010),0.05,28,12,KÃ¶lsch,NA
193,391,Lucky U IPA,0.062,68,12,American IPA,American IPA
195,545,Lancaster German Style KÃ¶lsch,0.048,28,12,KÃ¶lsch,NA
212,551,Bear Ass Brown,0.042,NA,12,American Brown Ale,NA
213,25,Wee Mac Scottish-Style Ale,0.054,23,16,Scottish Ale,NA
217,392,Happy Camper IPA,0.066,NA,12,American IPA,American IPA
219,386,Miner's Gold,,NA,12,American Blonde Ale,American Blonde Ale
220,386,Colorado Red Ale,0.062,NA,12,American Amber / Red Ale,American Amber / Red Ale
271,212,11th Hour IPA,0.06,NA,12,American IPA,American IPA
272,212,Pile O'Dirt Porter,0.069,NA,12,American Porter,NA
273,440,AXL Pale Ale,,NA,16,American Pale Ale (APA),American Pale Ale (APA)
285,30,Devilâ€™s Ale (2010),0.055,45,12,American Pale Ale (APA),American Pale Ale (APA)
286,30,SanTan HefeWeizen (2010),0.05,15,12,Hefeweizen,NA
304,392,Freestyle Pilsner,0.055,NA,12,German Pilsener,NA
305,392,Imperial Java Stout,0.08,NA,12,Russian Imperial Stout,NA
307,392,Santa Fe Oktoberfest,,NA,12,MÃ¤rzen / Oktoberfest,NA
308,478,Good People American Brown Ale,0.0579999999999999,36,12,American Brown Ale,NA
309,478,Good People IPA,0.06,64,12,American IPA,American IPA
311,478,Coffee Oatmeal Stout,0.06,54,12,Oatmeal Stout,NA
312,478,Snake Handler Double IPA,0.093,103,12,American Double / Imperial IPA,American Double / Imperial IPA
313,375,Mana Wheat,0.055,15,12,American Pale Wheat Ale,American Pale Wheat Ale
314,143,Narragansett Fest Lager,0.055,15,16,MÃ¤rzen / Oktoberfest,NA
315,143,Narragansett Bock,0.065,32,16,Bock,NA
316,143,Narragansett Porter,0.07,22,16,American Porter,NA
317,30,Hop Shock IPA (2010),0.07,85,12,American IPA,American IPA
318,206,Vortex IPA,0.074,97,16,American IPA,American IPA
319,206,1811 Lager,0.051,NA,16,American Amber / Red Lager,NA
320,410,Gandhi-Bot Double IPA (12 oz.),0.088,85,12,American Double / Imperial IPA,American Double / Imperial IPA
321,368,Fireside Chat (2010),0.079,45,12,Winter Warmer,NA
323,550,Wind River Blonde Ale,0.05,NA,16,American Blonde Ale,American Blonde Ale
324,550,Wyoming Pale Ale,0.072,NA,16,American Pale Ale (APA),American Pale Ale (APA)
326,507,Up River Light,0.042,NA,12,Light Lager,NA
327,549,Wapiti Amber Ale,0.05,NA,12,American Amber / Red Ale,American Amber / Red Ale
328,437,Brooklyn Summer Ale (2011),0.045,NA,12,English Pale Mild Ale,NA
329,61,WET,0.075,90,16,American IPA,American IPA
334,361,Wild Onion Pumpkin Ale (2010),0.045,NA,12,Pumpkin Ale,NA
335,548,Ponderosa IPA,,NA,12,American IPA,American IPA
336,547,Iron Mike Pale Ale,0.0559999999999999,NA,24,American Pale Ale (APA),American Pale Ale (APA)
337,547,Boneshaker Brown Ale,0.055,NA,24,English Brown Ale,NA
339,487,Copper Hook (2011),0.0579999999999999,27,12,American Amber / Red Ale,American Amber / Red Ale
340,413,Black Thunder,0.052,NA,12,Schwarzbier,NA
341,413,Pearl-Snap,0.053,NA,12,German Pilsener,NA
342,413,Peacemaker,0.051,NA,12,American Pale Ale (APA),American Pale Ale (APA)
343,413,Fire Eagle IPA,0.062,NA,12,American IPA,American IPA
344,364,Cherny Bock,0.04,NA,12,Schwarzbier,NA
345,51,Upslope Brown Ale,0.067,NA,12,English Brown Ale,NA
346,522,Baltic Porter,0.078,NA,16,Baltic Porter,NA
347,522,Golden State Ale,0.064,NA,16,Belgian Pale Ale,NA
348,458,Skilak Scottish Ale (2011),0.0579999999999999,NA,12,Scottish Ale,NA
349,458,Sunken Island IPA,0.068,NA,12,American IPA,American IPA
350,256,Golden Wing Blonde Ale,0.047,NA,16,American Blonde Ale,American Blonde Ale
351,256,Cut Throat Pale Ale (2011),0.055,NA,16,American Pale Ale (APA),American Pale Ale (APA)
352,327,Over Ale,0.06,NA,16,American Brown Ale,NA
353,368,Bitter American (2011),0.044,42,12,American Pale Ale (APA),American Pale Ale (APA)
355,158,Lumberyard IPA,0.061,NA,12,American IPA,American IPA
356,63,Crazy Mountain Amber Ale,0.052,25,12,American Amber / Red Ale,American Amber / Red Ale
357,131,2012 Black Ale,0.054,32,12,American Brown Ale,NA
358,160,Hop Knot IPA,0.067,47,12,American IPA,American IPA
359,145,Sankaty Light Lager,0.038,NA,12,Light Lager,NA
360,303,#9,0.051,20,12,Fruit / Vegetable Beer,NA
361,449,TailGate Hefeweizen,0.049,28,12,Hefeweizen,NA
362,449,Blacktop Blonde,0.05,19,12,American Blonde Ale,American Blonde Ale
363,229,Milkshake Stout,0.05,NA,16,Milk / Sweet Stout,NA
364,84,Olde Ore Dock Scottish Ale,,NA,12,Scottish Ale,NA
365,440,BRIK Irish Red Ale,0.048,NA,16,Irish Red Ale,NA
366,361,Jack Stout,0.06,23,12,Oatmeal Stout,NA
367,171,Hop Ottin' IPA (2011),0.07,80,12,American IPA,American IPA
368,383,Northern Lights India Pale Ale,0.065,52,12,American IPA,American IPA
369,383,Festie,0.048,12,12,MÃ¤rzen / Oktoberfest,NA
371,365,Redband Stout,0.06,36,16,American Stout,NA
379,272,Heady Topper,0.08,120,16,American Double / Imperial IPA,American Double / Imperial IPA
381,546,Upstate I.P.W.,0.065,70,12,American IPA,American IPA
382,546,Common Sense Kentucky Common Ale,0.053,22,16,American Brown Ale,NA
383,530,Black Adder IBA (Current),0.073,85,16,American Black Ale,NA
384,10,Triomphe,0.065,NA,16,Belgian IPA,NA
385,10,Solitude,0.06,NA,16,Belgian Pale Ale,NA
386,264,Mexican Logger,0.042,18,12,American Pale Lager,NA
387,10,Farm Hand,0.055,NA,16,Saison / Farmhouse Ale,NA
388,166,G'KNIGHT (12 oz.),0.087,85,12,American Double / Imperial IPA,American Double / Imperial IPA
389,165,Great Crescent Blonde Ale (2011),0.053,22,16,American Blonde Ale,American Blonde Ale
390,541,Whitsun,0.062,17,12,American Pale Wheat Ale,American Pale Wheat Ale
391,166,One Hit Wonder,0.09,60,12,American Double / Imperial IPA,American Double / Imperial IPA
392,545,Rumspringa Golden Bock,0.066,30,12,Maibock / Helles Bock,NA
393,191,Pakoâ€™s EyePA,0.068,60,12,American IPA,American IPA
394,25,Johan the Barleywine,0.099,60,16,English Barleywine,NA
395,369,Crank Yanker IPA (2011),0.078,74,16,American IPA,American IPA
397,391,SummerBright Ale,0.045,15,12,American Pale Wheat Ale,American Pale Wheat Ale
398,361,Wild Onion Summer Wit,0.042,13,12,Witbier,NA
399,544,Pyramid Hefeweizen (2011),0.052,18,12,Hefeweizen,NA
400,83,Sierra Nevada Pale Ale,0.0559999999999999,37,12,American Pale Ale (APA),American Pale Ale (APA)
402,191,Snake River Pale Ale,0.052,32,12,American Pale Ale (APA),American Pale Ale (APA)
403,143,Narragansett Summer Ale,0.042,24,16,American Pale Wheat Ale,American Pale Wheat Ale
404,543,Black Star Double Hopped Golden Lager (24 oz.),0.045,15,24,American Pale Lager,NA
406,191,Snake River Lager,0.05,18,12,Vienna Lager,NA
407,191,OB-1 Organic Ale,0.05,22,12,English Brown Ale,NA
408,540,Sunny Haze,0.05,NA,12,Hefeweizen,NA
409,542,Oaky's Oatmeal Stout,0.047,NA,16,Oatmeal Stout,NA
410,542,River Pig Pale Ale,0.054,NA,16,American Pale Ale (APA),American Pale Ale (APA)
412,45,Halcyon Unfiltered Wheat,0.05,20,12,American Pale Wheat Ale,American Pale Wheat Ale
413,541,Sky High Rye,0.06,55,12,American Pale Ale (APA),American Pale Ale (APA)
414,44,Bottom Up Belgian Wit,0.05,14,12,Witbier,NA
415,44,Anti-Hero IPA,0.065,70,12,American IPA,American IPA
416,44,Eugene Porter,0.068,28,12,American Porter,NA
417,44,Oktoberfest Revolution,0.057,25,12,MÃ¤rzen / Oktoberfest,NA
418,44,Fistmas Ale,0.061,31,12,Herbed / Spiced Beer,NA
419,540,Second Wind Pale Ale,0.05,NA,12,American Pale Ale (APA),American Pale Ale (APA)
420,366,Washita Wheat,0.053,14,12,American Pale Wheat Ale,American Pale Wheat Ale
421,366,Mustang Golden Ale,0.053,10,12,American Blonde Ale,American Blonde Ale
422,46,Bengali Tiger (2011),0.064,62,16,American IPA,American IPA
423,46,Righteous Ale (2011),0.063,57,16,Rye Beer,NA
424,46,Sweet Action (2011),0.052,34,16,Cream Ale,NA
425,46,The Crisp (2011),0.054,42,16,German Pilsener,NA
426,83,Torpedo,0.072,65,16,American IPA,American IPA
427,179,Sky Blue Golden Ale,0.051,NA,12,KÃ¶lsch,NA
428,528,Shiva IPA,0.06,69,12,American IPA,American IPA
429,528,Ninja Porter,0.053,26,12,American Porter,NA
430,361,Hop Slayer Double IPA (2011),0.0819999999999999,100,12,American Double / Imperial IPA,American Double / Imperial IPA
431,462,Colorado Native (2011),0.055,26,12,American Amber / Red Lager,NA
432,368,Hop Crisis,0.0969999999999999,94,12,American Double / Imperial IPA,American Double / Imperial IPA
433,539,Greenville Pale Ale,0.055,52,12,American Pale Ale (APA),American Pale Ale (APA)
434,223,Sockeye Red IPA,0.057,70,12,American IPA,American IPA
435,375,Flyin' HI.P.Hay,0.068,68,12,American IPA,American IPA
436,165,Great Crescent IPA (2011),0.062,60,16,American IPA,American IPA
439,165,Great Crescent Mild Ale,0.042,26,16,English Dark Mild Ale,NA
440,165,Great Crescent Dark Lager,0.057,23,16,Euro Dark Lager,NA
441,165,Great Crescent Coconut Porter (2012),0.0559999999999999,33,16,American Porter,NA
442,165,Great Crescent Stout,0.08,66,16,English Stout,NA
444,51,Upslope Craft Lager,0.048,22,12,Vienna Lager,NA
445,498,Special Amber,0.05,22,12,Vienna Lager,NA
446,531,Dolores River Mild,,NA,16,English Dark Mild Ale,NA
447,531,Dolores River Dry Stout,,NA,16,Irish Dry Stout,NA
448,531,Dolores River Pale Ale,,NA,16,American Pale Ale (APA),American Pale Ale (APA)
449,531,Snaggletooth Double Pale Ale,,NA,16,American Double / Imperial IPA,American Double / Imperial IPA
450,531,Dolores River ESB,,NA,16,Extra Special / Strong Bitter (ESB),NA
451,190,Panorama Wheat Ale,0.046,NA,12,American Pale Wheat Ale,American Pale Wheat Ale
453,299,Saranac Summer Ale (2011),0.047,NA,12,American Pale Wheat Ale,American Pale Wheat Ale
455,165,Bourbon's Barrel Stout,0.075,65,16,American Stout,NA
456,131,Point Oktoberfest,0.057,15,12,MÃ¤rzen / Oktoberfest,NA
457,538,Dundee Summer Wheat Beer,0.045,18,12,American Pale Wheat Ale,American Pale Wheat Ale
463,125,Hopadillo India Pale Ale,0.066,70,12,American IPA,American IPA
464,125,Weisse Versa,0.052,15,12,Hefeweizen,NA
465,125,Sympathy for the Lager,0.049,45,12,American Amber / Red Lager,NA
466,51,Top Rope Mexican-style Craft Lager,0.048,15,12,Vienna Lager,NA
467,233,Joseph James American Lager,0.052,15,12,American Adjunct Lager,NA
468,233,Hop Box Imperial IPA,0.093,90,12,American Double / Imperial IPA,American Double / Imperial IPA
469,233,Fox Tail Gluten Free Ale,0.05,50,12,American Pale Ale (APA),American Pale Ale (APA)
470,219,Bozone Select Amber Ale,0.055,NA,12,American Amber / Red Ale,American Amber / Red Ale
471,537,Back Country Scottish Ale,0.057,NA,12,Scottish Ale,NA
472,537,Miner's Gold Hefeweizen,0.05,NA,12,Hefeweizen,NA
473,537,Lewis & Clark Amber Ale,0.05,NA,12,American Amber / Red Ale,American Amber / Red Ale
474,537,Tumbleweed IPA,0.057,NA,12,American IPA,American IPA
475,537,Yellowstone Golden Ale,0.051,NA,12,KÃ¶lsch,NA
476,536,Grand Canyon American Pilsner,0.052,NA,12,American Pilsner,NA
477,536,White Water Wheat,0.05,NA,12,American Pale Wheat Ale,American Pale Wheat Ale
478,165,Great Crescent Belgian Style Wit,0.051,13,16,Witbier,NA
479,314,Missouri Mule India Pale Ale,0.07,70,16,American IPA,American IPA
480,331,Farmer Ted's Farmhouse Cream Ale,0.0559999999999999,NA,12,Cream Ale,NA
481,256,Threadless IPA,0.075,NA,16,American IPA,American IPA
482,190,Trailhead India Style Session Ale (2011),0.048,48,12,American IPA,American IPA
484,174,NOLA Blonde Ale,0.049,NA,12,American Blonde Ale,American Blonde Ale
485,174,NOLA Brown Ale,0.039,NA,12,English Dark Mild Ale,NA
486,174,Hopitoulas IPA,0.065,NA,16,American IPA,American IPA
494,152,Perfect Tin Amber,0.045,28,12,American Amber / Red Ale,American Amber / Red Ale
495,152,Voodoo Bengal Pale Ale,0.055,37,12,American Pale Ale (APA),American Pale Ale (APA)
496,362,Hilliard's Saison,0.066,30,16,Saison / Farmhouse Ale,NA
497,362,Hilliard's Amber Ale,0.055,60,16,American Amber / Red Ale,American Amber / Red Ale
498,198,Double D Blonde (2011),0.049,20,12,American Blonde Ale,American Blonde Ale
499,198,Alphadelic IPA (2011),0.065,90,12,American IPA,American IPA
501,395,Pale Dog,0.06,50,12,American Pale Ale (APA),American Pale Ale (APA)
502,395,Alteration,0.051,40,12,Altbier,NA
504,530,Roler Bock (Current),,NA,16,Maibock / Helles Bock,NA
505,190,Evolutionary IPA (2011),0.062,70,12,American IPA,American IPA
506,535,Great Falls Select Pale Ale,,NA,12,American Blonde Ale,American Blonde Ale
507,331,Firewater India Pale Ale,0.052,NA,12,American IPA,American IPA
508,301,Endless Summer Ale (2011),0.048,NA,16,American Pale Wheat Ale,American Pale Wheat Ale
509,301,T-Rail Pale Ale,0.055,NA,16,American Pale Ale (APA),American Pale Ale (APA)
511,534,High Country Pilsner (Current),0.042,NA,12,German Pilsener,NA
512,46,Autumnation (2011-12) (2011),0.06,48,16,Pumpkin Ale,NA
513,525,Bomb Lager (Old Recipe),0.045,27,12,Munich Helles Lager,NA
514,533,Abita Amber,0.045,17,12,American Amber / Red Lager,NA
515,533,Purple Haze,0.042,13,12,Fruit / Vegetable Beer,NA
516,533,Jockamo IPA,0.065,52,12,American IPA,American IPA
517,365,40th Annual Bix Street Fest Copper Ale (Current),0.048,25,16,American Amber / Red Ale,American Amber / Red Ale
518,190,Immersion Amber Ale (2011),0.052,27,12,American Amber / Red Ale,American Amber / Red Ale
519,190,SoDo Brown Ale,0.054,20,12,American Brown Ale,NA
520,532,Inclined Plane Ale,,NA,12,American IPA,American IPA
521,314,McKinney Eddy Amber Ale,0.055,20,16,American Amber / Red Ale,American Amber / Red Ale
523,171,Winter Solstice,0.069,6,12,Winter Warmer,NA
524,531,Dolores River Hefeweizen,,NA,16,Hefeweizen,NA
525,46,Diesel,0.063,69,16,American Stout,NA
526,25,Sun King Oktoberfest (2011),0.055,23,16,MÃ¤rzen / Oktoberfest,NA
527,72,Atwater's Lager,0.05,12,12,Munich Helles Lager,NA
528,72,Grand Circus IPA,0.05,62,12,American IPA,American IPA
529,152,Tin Roof Blonde Ale,0.045,18,12,American Blonde Ale,American Blonde Ale
